"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 07:49:05PM","222 ms","OK","Chicago (IL)"
"up","10/12/2017 07:48:05PM","165 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 07:47:05PM","157 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:46:05PM","227 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 07:45:05PM","167 ms","OK","Phoenix (AZ)"
"up","10/12/2017 07:44:05PM","61 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 07:43:05PM","662 ms","OK","London (UK)"
"up","10/12/2017 07:42:05PM","165 ms","OK","Seattle 2)"
"up","10/12/2017 07:41:05PM","344 ms","OK","San Jose (CA)"
"up","10/12/2017 07:40:05PM","40 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 07:39:05PM","90 ms","OK","Chicago (IL)"
"up","10/12/2017 07:38:05PM","193 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 07:37:05PM","226 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:36:05PM","338 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 07:35:05PM","223 ms","OK","Phoenix (AZ)"
"up","10/12/2017 07:34:05PM","57 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 07:33:05PM","374 ms","OK","London (UK)"
"up","10/12/2017 07:32:05PM","166 ms","OK","Seattle 2)"
"up","10/12/2017 07:31:05PM","200 ms","OK","San Jose (CA)"
"up","10/12/2017 07:30:05PM","17 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 07:29:05PM","129 ms","OK","Chicago (IL)"
"up","10/12/2017 07:28:05PM","185 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 07:27:05PM","89 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:26:05PM","259 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 07:25:05PM","362 ms","OK","Phoenix (AZ)"
"up","10/12/2017 07:24:05PM","118 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 07:23:05PM","859 ms","OK","London (UK)"
"up","10/12/2017 07:22:05PM","199 ms","OK","Seattle 2)"
"up","10/12/2017 07:21:05PM","116 ms","OK","San Jose (CA)"
"up","10/12/2017 07:20:05PM","199 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 07:19:05PM","147 ms","OK","Chicago (IL)"
"up","10/12/2017 07:18:05PM","192 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 07:17:05PM","126 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:16:05PM","282 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 07:15:05PM","212 ms","OK","Phoenix (AZ)"
"up","10/12/2017 07:14:05PM","63 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 07:13:05PM","121 ms","OK","London (UK)"
"up","10/12/2017 07:12:05PM","343 ms","OK","Seattle 2)"
"up","10/12/2017 07:11:05PM","156 ms","OK","San Jose (CA)"
"up","10/12/2017 07:10:05PM","37 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 07:09:05PM","59 ms","OK","Chicago (IL)"
"up","10/12/2017 07:08:05PM","192 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 07:07:05PM","62 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:06:05PM","368 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 07:05:05PM","185 ms","OK","Phoenix (AZ)"
"up","10/12/2017 07:04:05PM","58 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 07:03:05PM","185 ms","OK","London (UK)"
"up","10/12/2017 07:02:05PM","156 ms","OK","Seattle 2)"
"up","10/12/2017 07:01:05PM","162 ms","OK","San Jose (CA)"
"up","10/12/2017 07:00:05PM","48 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 06:59:05PM","85 ms","OK","Chicago (IL)"
"up","10/12/2017 06:58:05PM","336 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 06:57:05PM","149 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:56:05PM","270 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 06:55:05PM","164 ms","OK","Phoenix (AZ)"
"up","10/12/2017 06:54:05PM","61 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 06:53:05PM","206 ms","OK","London (UK)"
"up","10/12/2017 06:52:05PM","247 ms","OK","Seattle 2)"
"up","10/12/2017 06:51:05PM","138 ms","OK","San Jose (CA)"
"up","10/12/2017 06:50:05PM","40 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 06:49:05PM","260 ms","OK","Chicago (IL)"
"up","10/12/2017 06:48:05PM","178 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 06:47:05PM","61 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:46:05PM","251 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 06:45:05PM","151 ms","OK","Phoenix (AZ)"
"up","10/12/2017 06:44:05PM","62 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 06:43:05PM","349 ms","OK","London (UK)"
"up","10/12/2017 06:42:05PM","246 ms","OK","Seattle 2)"
"up","10/12/2017 06:41:05PM","314 ms","OK","San Jose (CA)"
"up","10/12/2017 06:40:05PM","28 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 06:39:05PM","81 ms","OK","Chicago (IL)"
"up","10/12/2017 06:38:05PM","177 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 06:37:05PM","266 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:36:05PM","522 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 06:35:05PM","228 ms","OK","Phoenix (AZ)"
"up","10/12/2017 06:34:05PM","64 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 06:33:05PM","295 ms","OK","London (UK)"
"up","10/12/2017 06:32:05PM","198 ms","OK","Seattle 2)"
"up","10/12/2017 06:31:05PM","94 ms","OK","San Jose (CA)"
"up","10/12/2017 06:30:05PM","45 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 06:29:05PM","123 ms","OK","Chicago (IL)"
"up","10/12/2017 06:28:05PM","180 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 06:27:05PM","157 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:26:05PM","138 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 06:25:05PM","329 ms","OK","Phoenix (AZ)"
"up","10/12/2017 06:24:05PM","138 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 06:23:05PM","640 ms","OK","London (UK)"
"up","10/12/2017 06:22:05PM","141 ms","OK","Seattle 2)"
"up","10/12/2017 06:21:05PM","171 ms","OK","San Jose (CA)"
"up","10/12/2017 06:20:05PM","161 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 06:19:05PM","83 ms","OK","Chicago (IL)"
"up","10/12/2017 06:18:05PM","175 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 06:17:05PM","127 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:16:05PM","349 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 06:15:05PM","155 ms","OK","Phoenix (AZ)"
"up","10/12/2017 06:14:05PM","66 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 06:13:05PM","343 ms","OK","London (UK)"
"up","10/12/2017 06:12:05PM","333 ms","OK","Seattle 2)"
"up","10/12/2017 06:11:05PM","206 ms","OK","San Jose (CA)"
"up","10/12/2017 06:10:05PM","52 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 06:09:05PM","91 ms","OK","Chicago (IL)"
"up","10/12/2017 06:08:05PM","177 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 06:07:05PM","112 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:06:05PM","367 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 06:05:05PM","217 ms","OK","Phoenix (AZ)"
"up","10/12/2017 06:04:05PM","63 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 06:03:05PM","357 ms","OK","London (UK)"
"up","10/12/2017 06:02:05PM","208 ms","OK","Seattle 2)"
"up","10/12/2017 06:01:05PM","178 ms","OK","San Jose (CA)"
"up","10/12/2017 06:00:05PM","49 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 05:59:05PM","81 ms","OK","Chicago (IL)"
"up","10/12/2017 05:58:05PM","326 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 05:57:05PM","74 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 05:56:05PM","224 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 05:55:05PM","148 ms","OK","Phoenix (AZ)"
"up","10/12/2017 05:54:05PM","56 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 05:53:05PM","186 ms","OK","London (UK)"
