"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 09:34:58PM","61 ms","OK","Matawan (NJ)"
"up","10/12/2017 09:33:58PM","40 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:32:58PM","184 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 09:31:58PM","121 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:30:58PM","64 ms","OK","Los Angeles (CA)"
"up","10/12/2017 09:29:58PM","81 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:28:58PM","200 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 09:27:58PM","138 ms","OK","Dallas (TX)"
"up","10/12/2017 09:26:58PM","310 ms","OK","Seattle 2)"
"up","10/12/2017 09:25:58PM","64 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 09:24:58PM","109 ms","OK","Matawan (NJ)"
"up","10/12/2017 09:23:58PM","27 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:22:58PM","175 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 09:21:58PM","141 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:20:58PM","41 ms","OK","Los Angeles (CA)"
"up","10/12/2017 09:19:58PM","76 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:18:58PM","144 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 09:17:58PM","133 ms","OK","Dallas (TX)"
"up","10/12/2017 09:16:58PM","141 ms","OK","Seattle 2)"
"up","10/12/2017 09:15:58PM","70 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 09:14:58PM","172 ms","OK","Matawan (NJ)"
"up","10/12/2017 09:13:58PM","83 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:12:58PM","107 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 09:11:58PM","100 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:10:58PM","68 ms","OK","Los Angeles (CA)"
"up","10/12/2017 09:09:58PM","183 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:08:58PM","182 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 09:07:58PM","193 ms","OK","Dallas (TX)"
"up","10/12/2017 09:06:58PM","278 ms","OK","Seattle 2)"
"up","10/12/2017 09:05:58PM","90 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 09:04:58PM","121 ms","OK","Matawan (NJ)"
"up","10/12/2017 09:03:58PM","32 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:02:58PM","452 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 09:01:58PM","224 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:00:58PM","43 ms","OK","Los Angeles (CA)"
"up","10/12/2017 08:59:58PM","102 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:58:58PM","153 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 08:57:58PM","187 ms","OK","Dallas (TX)"
"up","10/12/2017 08:56:58PM","200 ms","OK","Seattle 2)"
"up","10/12/2017 08:55:58PM","50 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 08:54:58PM","117 ms","OK","Matawan (NJ)"
"up","10/12/2017 08:53:58PM","118 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:52:58PM","203 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 08:51:58PM","113 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:50:58PM","43 ms","OK","Los Angeles (CA)"
"up","10/12/2017 08:49:58PM","87 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:48:58PM","157 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 08:47:58PM","189 ms","OK","Dallas (TX)"
"up","10/12/2017 08:46:58PM","263 ms","OK","Seattle 2)"
"up","10/12/2017 08:45:58PM","60 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 08:44:58PM","107 ms","OK","Matawan (NJ)"
"up","10/12/2017 08:43:58PM","25 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:42:58PM","188 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 08:41:58PM","242 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:40:58PM","53 ms","OK","Los Angeles (CA)"
"up","10/12/2017 08:39:58PM","104 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:38:58PM","156 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 08:37:58PM","173 ms","OK","Dallas (TX)"
"up","10/12/2017 08:36:58PM","129 ms","OK","Seattle 2)"
"up","10/12/2017 08:35:58PM","70 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 08:34:58PM","93 ms","OK","Matawan (NJ)"
"up","10/12/2017 08:33:58PM","36 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:32:58PM","210 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 08:31:58PM","103 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:30:58PM","156 ms","OK","Los Angeles (CA)"
"up","10/12/2017 08:29:58PM","109 ms","OK","Las Vegas 3 (NV)"
