"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 07:18:10PM","133 ms","OK","Chicago (IL)"
"up","10/12/2017 07:17:10PM","295 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 07:16:10PM","142 ms","OK","Dallas (TX)"
"up","10/12/2017 07:15:10PM","38 ms","OK","New York (NY)"
"up","10/12/2017 07:14:10PM","233 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 07:13:10PM","378 ms","OK","Seattle 2)"
"up","10/12/2017 07:12:10PM","65 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:11:10PM","93 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:10:10PM","177 ms","OK","London (UK)"
"up","10/12/2017 07:09:10PM","57 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:08:10PM","101 ms","OK","Chicago (IL)"
"up","10/12/2017 07:07:10PM","193 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 07:06:10PM","211 ms","OK","Dallas (TX)"
"up","10/12/2017 07:05:10PM","22 ms","OK","New York (NY)"
"up","10/12/2017 07:04:10PM","169 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 07:03:10PM","186 ms","OK","Seattle 2)"
"up","10/12/2017 07:02:10PM","109 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:01:10PM","161 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:00:10PM","455 ms","OK","London (UK)"
"up","10/12/2017 06:59:10PM","171 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:58:10PM","83 ms","OK","Chicago (IL)"
"up","10/12/2017 06:57:10PM","108 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 06:56:10PM","102 ms","OK","Dallas (TX)"
"up","10/12/2017 06:55:10PM","98 ms","OK","New York (NY)"
"up","10/12/2017 06:54:10PM","48 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 06:53:10PM","221 ms","OK","Seattle 2)"
"up","10/12/2017 06:52:10PM","111 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:51:10PM","117 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:50:10PM","144 ms","OK","London (UK)"
"up","10/12/2017 06:49:10PM","45 ms","OK","Stockholm 3 (Sweden)"
