"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 09:19:24PM","87 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 09:18:24PM","54 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:17:24PM","247 ms","OK","Athens (Greece)"
"up","10/12/2017 09:16:24PM","654 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 09:15:24PM","42 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:14:24PM","166 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 09:13:24PM","125 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 09:12:24PM","54 ms","OK","Philadelphia (PA)"
"up","10/12/2017 09:11:24PM","125 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:10:24PM","110 ms","OK","London (UK)"
"up","10/12/2017 09:09:24PM","135 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 09:08:24PM","84 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:07:24PM","247 ms","OK","Athens (Greece)"
"up","10/12/2017 09:06:24PM","648 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 09:05:24PM","44 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:04:24PM","157 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 09:03:24PM","115 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 09:02:24PM","36 ms","OK","Philadelphia (PA)"
"up","10/12/2017 09:01:24PM","139 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:00:24PM","106 ms","OK","London (UK)"
"up","10/12/2017 08:59:24PM","274 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 08:58:24PM","104 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:57:24PM","696 ms","OK","Athens (Greece)"
"up","10/12/2017 08:56:24PM","680 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 08:55:24PM","49 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:54:24PM","156 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 08:53:24PM","112 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 08:52:24PM","65 ms","OK","Philadelphia (PA)"
"up","10/12/2017 08:51:24PM","137 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:50:24PM","74 ms","OK","London (UK)"
"up","10/12/2017 08:49:24PM","99 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 08:48:24PM","67 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:47:24PM","247 ms","OK","Athens (Greece)"
"up","10/12/2017 08:46:24PM","645 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 08:45:24PM","111 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:44:24PM","91 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 08:43:24PM","121 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 08:42:24PM","59 ms","OK","Philadelphia (PA)"
"up","10/12/2017 08:41:24PM","106 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:40:24PM","299 ms","OK","London (UK)"
"up","10/12/2017 08:39:24PM","95 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 08:38:24PM","105 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:37:24PM","243 ms","OK","Athens (Greece)"
"up","10/12/2017 08:36:24PM","704 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 08:35:24PM","24 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:34:24PM","89 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 08:33:24PM","106 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 08:32:24PM","88 ms","OK","Philadelphia (PA)"
"up","10/12/2017 08:31:24PM","116 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:30:24PM","50 ms","OK","London (UK)"
"up","10/12/2017 08:29:24PM","129 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 08:28:24PM","151 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:27:24PM","252 ms","OK","Athens (Greece)"
"up","10/12/2017 08:26:24PM","603 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 08:25:24PM","52 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:24:24PM","89 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 08:23:24PM","126 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 08:22:24PM","94 ms","OK","Philadelphia (PA)"
"up","10/12/2017 08:21:24PM","108 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:20:24PM","150 ms","OK","London (UK)"
"up","10/12/2017 08:19:24PM","164 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 08:18:24PM","89 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:17:24PM","607 ms","OK","Athens (Greece)"
"up","10/12/2017 08:16:24PM","597 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 08:15:24PM","22 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:14:24PM","295 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 08:13:24PM","113 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 08:12:24PM","78 ms","OK","Philadelphia (PA)"
"up","10/12/2017 08:11:24PM","229 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:10:24PM","88 ms","OK","London (UK)"
"up","10/12/2017 08:09:24PM","80 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 08:08:24PM","47 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 08:07:24PM","244 ms","OK","Athens (Greece)"
"up","10/12/2017 08:06:24PM","685 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 08:05:24PM","51 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:04:24PM","98 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 08:03:24PM","111 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 08:02:24PM","38 ms","OK","Philadelphia (PA)"
"up","10/12/2017 08:01:24PM","88 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:00:24PM","52 ms","OK","London (UK)"
"up","10/12/2017 07:59:24PM","133 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 07:58:24PM","83 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 07:57:24PM","250 ms","OK","Athens (Greece)"
"up","10/12/2017 07:56:24PM","590 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 07:55:24PM","76 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:54:24PM","97 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 07:53:24PM","120 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 07:52:24PM","62 ms","OK","Philadelphia (PA)"
"up","10/12/2017 07:51:24PM","173 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:50:24PM","157 ms","OK","London (UK)"
"up","10/12/2017 07:49:24PM","79 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 07:48:24PM","156 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 07:47:24PM","258 ms","OK","Athens (Greece)"
"up","10/12/2017 07:46:24PM","612 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 07:45:24PM","62 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:44:24PM","220 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 07:43:24PM","114 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 07:42:24PM","55 ms","OK","Philadelphia (PA)"
"up","10/12/2017 07:41:24PM","122 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:40:24PM","131 ms","OK","London (UK)"
"up","10/12/2017 07:39:24PM","159 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 07:38:24PM","69 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 07:37:24PM","638 ms","OK","Athens (Greece)"
"up","10/12/2017 07:36:24PM","629 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 07:35:24PM","39 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:34:24PM","361 ms","OK","Toronto 5 (Canada)"
